indicator,date,rate
low,2023-12-14 18:00:00,366.25
close,2023-12-14 18:00:00,366.67
open,2023-12-14 17:00:00,366.32
high,2023-12-14 17:00:00,366.4
low,2023-12-14 17:00:00,365.93
close,2023-12-14 17:00:00,366.37
open,2023-12-14 16:00:00,366.13
high,2023-12-14 16:00:00,367.241
low,2023-12-14 16:00:00,365.852
close,2023-12-14 16:00:00,366.31
open,2023-12-14 15:00:00,365.57
high,2023-12-14 15:00:00,366.27
low,2023-12-14 15:00:00,364.89
close,2023-12-14 15:00:00,365.95
open,2023-12-14 14:00:00,364.881
high,2023-12-14 14:00:00,366.18
low,2023-12-14 14:00:00,364.82
close,2023-12-14 14:00:00,365.565
open,2023-12-14 13:00:00,366.54
high,2023-12-14 13:00:00,366.545
low,2023-12-14 13:00:00,364.13
close,2023-12-14 13:00:00,364.9
open,2023-12-14 12:00:00,367.1
high,2023-12-14 12:00:00,368.04
low,2023-12-14 12:00:00,366.54
close,2023-12-14 12:00:00,366.55
open,2023-12-14 11:00:00,369.17
high,2023-12-14 11:00:00,369.25
low,2023-12-14 11:00:00,366.05
close,2023-12-14 11:00:00,367.1
open,2023-12-14 10:00:00,370.315
high,2023-12-14 10:00:00,370.315
low,2023-12-14 10:00:00,367.65
close,2023-12-14 10:00:00,369.17
open,2023-12-14 09:00:00,374.88
high,2023-12-14 09:00:00,377.535
low,2023-12-14 09:00:00,369.685
close,2023-12-14 09:00:00,370.27
open,2023-12-14 08:00:00,375.65
high,2023-12-14 08:00:00,376.26
low,2023-12-14 08:00:00,369.02
close,2023-12-14 08:00:00,375.0
open,2023-12-14 07:00:00,375.44
high,2023-12-14 07:00:00,375.8
low,2023-12-14 07:00:00,374.5
close,2023-12-14 07:00:00,374.59
open,2023-12-14 06:00:00,375.67
high,2023-12-14 06:00:00,375.67
low,2023-12-14 06:00:00,375.06
close,2023-12-14 06:00:00,375.41
open,2023-12-14 05:00:00,375.24
high,2023-12-14 05:00:00,375.69
